Agency Name,Cost Pool,Fiscal Month,Cost,Fiscal Month (date),Fiscal & Calendar Month,Fiscal Year
Washington Technology Solutions,Outside Services,Dec-2024,44029402,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Health,Other,Oct-2024,15520747,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
University of Washington,Software,Sep-2024,14894039,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Health,Other,Feb-2025,13944286,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Dept of Social and Health Services,Internal Labor,Dec-2024,10921653,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Dept of Social and Health Services,Internal Labor,Jan-2025,10628418,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Dept of Social and Health Services,Internal Labor,Feb-2025,10186025,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Dept of Social and Health Services,Internal Labor,Aug-2024,10126010,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Dept of Social and Health Services,Internal Labor,Mar-2025,10115142,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Dept of Social and Health Services,Internal Labor,Oct-2024,10070269,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Dept of Social and Health Services,Internal Labor,Sep-2024,10046959,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Dept of Social and Health Services,Internal Labor,Jul-2024,9998166,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
University of Washington,Outside Services,Jul-2024,9833359,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
University of Washington,Outside Services,Sep-2024,9137622,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Dept of Social and Health Services,Internal Labor,Nov-2024,9020575,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Health,Other,Sep-2024,8601981,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Dept of Social and Health Services,External Labor,Jan-2025,8546525,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
University of Washington,Software,Jan-2025,8359541,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Financial Management,Outside Services,Oct-2024,8183958,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Community/Technical College System,Software,Jul-2024,8043293,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Dept of Social and Health Services,Outside Services,Oct-2024,7511666,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Health,Outside Services,Aug-2024,7295426,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Dept of Social and Health Services,External Labor,Mar-2025,7262092,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Transportation,Software,Jan-2025,7212381,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
"Department of Children, Youth, and Famil",Internal Services,Oct-2024,7085062,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Dept of Social and Health Services,Software,Jul-2024,6866892,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Dept of Social and Health Services,Outside Services,Jan-2025,6628036,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Financial Management,Outside Services,Jan-2025,6587025,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
University of Washington,Software,Jul-2024,6537479,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
University of Washington,Software,Dec-2024,6536042,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
University of Washington,Software,Nov-2024,6514770,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Dept of Social and Health Services,Internal Services,Aug-2024,6309151,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Community/Technical College System,Internal Labor,Oct-2024,5812974,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Community/Technical College System,Internal Labor,Dec-2024,5747596,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Community/Technical College System,Internal Labor,Feb-2025,5725820,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Community/Technical College System,Internal Labor,Mar-2025,5713518,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Community/Technical College System,Internal Labor,Jan-2025,5705256,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Community/Technical College System,Internal Labor,Sep-2024,5701352,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Community/Technical College System,Internal Labor,Aug-2024,5635490,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Community/Technical College System,Internal Labor,Nov-2024,5633970,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Fish and Wildlife,Internal Services,Oct-2024,5545699,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Attorney General,Outside Services,Aug-2024,5472918,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Office of Financial Management,Outside Services,Dec-2024,5455767,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
